"","EndDates","EndLocation","StartDates","StartLocation"
"8079",2015-09-02,"Opp. KR MRT Station",2015-09-02,"Computer Centre"
"8080",2016-09-12,"University Town",2016-09-12,"S17"
"8081",2016-11-18,"KR MRT Station ",2016-11-18,"University Hall"
"8082",2017-04-08,"COM2",2017-04-08,"LT29"
"8083",2015-06-12,"Computer Centre",2015-06-12,"KR MRT Station "
"8084",2017-12-28,"KR MRT Station ",2017-12-28,"House 7"
"8085",2016-03-29,"LT29",2016-03-29,"Computer Centre"
"8086",2016-05-02,"KR MRT Station ",2016-05-02,"Central Library"
"8087",2016-01-27,"S17",2016-01-27,"LT29"
"8088",2017-10-08,"KR MRT Station ",2017-10-08,"Opp. KR MRT Station"
"8089",2015-02-23,"KR MRT Station ",2015-02-23,"Central Library"
"8090",2016-01-15,"University Town",2016-01-15,"S17"
"8091",2017-12-19,"Central Library",2017-12-19,"COM2"
"8092",2015-08-01,"Opp. KR MRT Station",2015-08-01,"LT29"
"8093",2017-08-31,"Opp. KR MRT Station",2017-08-31,"University Town"
"8094",2016-06-23,"KR MRT Station ",2016-06-23,"University Town"
"8095",2017-12-29,"Opp. KR MRT Station",2017-12-29,"Computer Centre"
"8096",2015-01-13,"Computer Centre",2015-01-13,"Opp. KR MRT Station"
"8097",2016-08-05,"University Town",2016-08-05,"House 15"
"8098",2015-11-18,"Computer Centre",2015-11-18,"House 7"
"8099",2015-02-09,"S17",2015-02-09,"Opp. KR MRT Station"
"8100",2017-11-23,"EA",2017-11-23,"KR MRT Station "
"8101",2016-09-06,"Computer Centre",2016-09-06,"University Town"
"8102",2016-11-22,"Museum",2016-11-22,"BIZ2"
"8103",2017-12-01,"S17",2017-12-01,"KR MRT Station "
"8104",2017-09-21,"Opp. KR MRT Station",2017-09-21,"KR MRT Station "
"8105",2016-03-10,"KR MRT Station ",2016-03-10,"COM2"
"8106",2015-12-09,"University Town",2015-12-09,"Central Library"
"8107",2017-03-12,"KR MRT Station ",2017-03-12,"University Hall"
"8108",2015-01-27,"University Town",2015-01-27,"COM2"
"8109",2017-06-06,"House 12",2017-06-06,"KR MRT Station "
"8110",2015-12-24,"KR MRT Station ",2015-12-24,"Opp. KR MRT Station"
"8111",2016-06-18,"Opp. House 12",2016-06-18,"COM2"
"8112",2015-03-27,"S17",2015-03-27,"Opp. KR MRT Station"
"8113",2016-06-21,"KR MRT Station ",2016-06-21,"LT29"
"8114",2016-09-12,"University Town",2016-09-12,"KR MRT Station "
"8115",2016-11-07,"Central Library",2016-11-07,"KR MRT Station "
"8116",2016-02-17,"S17",2016-02-17,"COM2"
"8117",2015-01-28,"S17",2015-01-28,"Central Library"
"8118",2016-02-03,"Computer Centre",2016-02-03,"LT29"
"8119",2015-04-04,"LT29",2015-04-04,"Carpark 11 (BIZ)"
"8120",2015-03-23,"Opp. KR MRT Station",2015-03-23,"LT29"
"8121",2016-03-17,"Computer Centre",2016-03-17,"University Town"
"8122",2017-06-20,"Computer Centre",2017-06-20,"LT29"
"8123",2015-02-20,"University Town",2015-02-20,"KR MRT Station "
"8124",2015-02-23,"LT29",2015-02-23,"Museum"
"8125",2015-03-05,"LT29",2015-03-05,"Opp. NUSS"
"8126",2015-09-17,"Opp. University Health Centre",2015-09-17,"KR MRT Station "
"8127",2017-09-22,"KR MRT Station ",2017-09-22,"S17"
"8128",2015-06-11,"KR MRT Station ",2015-06-11,"Central Library"
"8129",2016-12-14,"University Town",2016-12-14,"University Health Centre"
"8130",2016-01-27,"University Town",2016-01-27,"Opp. House 12"
"8131",2015-09-11,"Central Library",2015-09-11,"BIZ2"
"8132",2016-06-07,"University Hall",2016-06-07,"KR MRT Station "
"8133",2017-03-21,"Ventus (Opp. LT13)",2017-03-21,"LT29"
"8134",2016-11-10,"KR MRT Station ",2016-11-10,"S17"
"8135",2015-08-24,"Central Library",2015-08-24,"University Town"
"8136",2015-07-26,"Opp. House 12",2015-07-26,"COM2"
"8137",2015-08-12,"Computer Centre",2015-08-12,"COM2"
"8138",2016-02-24,"S17",2016-02-24,"EA"
"8139",2016-06-28,"COM2",2016-06-28,"University Town"
"8140",2017-06-30,"Computer Centre",2017-06-30,"LT29"
"8141",2016-03-14,"S17",2016-03-14,"KR MRT Station "
"8142",2015-05-26,"Central Library",2015-05-26,"S17"
"8143",2017-02-08,"COM2",2017-02-08,"KR MRT Station "
"8144",2017-05-23,"BIZ2",2017-05-23,"S17"
"8145",2017-05-23,"Central Library",2017-05-23,"KR MRT Station "
"8146",2016-11-30,"S17",2016-11-30,"BIZ2"
"8147",2015-09-30,"KR MRT Station ",2015-09-30,"COM2"
"8148",2017-02-02,"Museum",2017-02-02,"Opp. House 12"
"8149",2016-06-16,"KR MRT Station ",2016-06-16,"University Town"
"8150",2016-01-29,"LT29",2016-01-29,"Opp. KR MRT Station"
"8151",2016-08-17,"Carpark 11 (BIZ)",2016-08-17,"KR MRT Station "
"8152",2016-02-02,"Computer Centre",2016-02-02,"LT29"
"8153",2017-12-11,"Carpark 11 (BIZ)",2017-12-11,"University Town"
"8154",2017-11-11,"University Town",2017-11-11,"Opp. KR MRT Station"
"8155",2015-05-20,"S17",2015-05-20,"Museum"
"8156",2016-08-17,"University Town",2016-08-17,"KR MRT Station "
"8157",2016-01-20,"LT29",2016-01-20,"University Town"
"8158",2016-07-13,"LT29",2016-07-13,"Opp. NUSS"
"8159",2015-07-09,"Central Library",2015-07-09,"S17"
"8160",2016-05-26,"Opp. KR MRT Station",2016-05-26,"University Town"
"8161",2016-09-07,"Central Library",2016-09-07,"LT13"
"8162",2017-12-28,"S17",2017-12-28,"University Town"
"8163",2016-08-15,"Yusof Ishak House",2016-08-15,"Raffles Hall"
"8164",2015-10-21,"Opp. Hon Sui Sen Memorial Library",2015-10-21,"Ventus (Opp. LT13)"
"8165",2017-08-01,"Opp. KR MRT Station",2017-08-01,"House 12"
"8166",2015-01-20,"Opp. KR MRT Station",2015-01-20,"Opp. University Hall"
"8167",2017-11-29,"S17",2017-11-29,"Central Library"
"8168",2017-04-19,"University Town",2017-04-19,"KR MRT Station "
"8169",2017-10-08,"LT29",2017-10-08,"University Town"
"8170",2017-10-25,"Central Library",2017-10-25,"Carpark 11 (BIZ)"
"8171",2016-04-01,"House 12",2016-04-01,"COM2"
"8172",2015-11-08,"KR MRT Station ",2015-11-08,"S17"
"8173",2016-10-27,"KR MRT Station ",2016-10-27,"KR MRT Station "
"8174",2016-02-23,"S17",2016-02-23,"Computer Centre"
"8175",2016-11-25,"Opp. KR MRT Station",2016-11-25,"LT29"
"8176",2017-12-29,"University Town",2017-12-29,"Opp. KR MRT Station"
"8177",2017-12-01,"Opp. KR MRT Station",2017-12-01,"KR MRT Station "
"8178",2016-05-12,"KR MRT Station ",2016-05-12,"University Town"
"8179",2017-06-21,"LT29",2017-06-21,"COM2"
"8180",2016-07-27,"LT29",2016-07-27,"COM2"
"8181",2015-04-14,"COM2",2015-04-14,"KR MRT Station "
"8182",2017-06-22,"COM2",2017-06-22,"University Town"
"8183",2017-08-04,"KR MRT Station ",2017-08-04,"Central Library"
"8184",2017-04-13,"LT29",2017-04-13,"Opp. KR MRT Station"
"8185",2015-12-18,"COM2",2015-12-18,"Central Library"
"8186",2017-01-06,"LT29",2017-01-06,"Computer Centre"
"8187",2015-12-02,"S17",2015-12-02,"COM2"
"8188",2017-08-08,"S17",2017-08-08,"Computer Centre"
"8189",2017-06-22,"COM2",2017-06-22,"S17"
"8190",2016-03-16,"LT29",2016-03-16,"Opp. KR MRT Station"
"8191",2016-08-08,"Opp. KR MRT Station",2016-08-08,"S17"
"8192",2016-02-24,"Computer Centre",2016-02-24,"University Town"
"8193",2015-06-08,"S17",2015-06-08,"Opp. KR MRT Station"
"8194",2016-07-13,"LT29",2016-07-13,"Computer Centre"
"8195",2015-03-01,"Opp. KR MRT Station",2015-03-01,"S17"
"8196",2016-10-21,"KR MRT Station ",2016-10-21,"Opp. University Hall"
"8197",2017-08-28,"University Town",2017-08-28,"Opp. Yusof Ishak House"
"8198",2015-08-18,"Opp. KR MRT Station",2015-08-18,"KR MRT Station "
"8199",2017-07-21,"University Town",2017-07-21,"KR MRT Station "
"8200",2015-10-08,"Opp. University Hall",2015-10-08,"Opp. KR MRT Station"
"8201",2016-11-25,"University Town",2016-11-25,"KR MRT Station "
"8202",2017-11-12,"S17",2017-11-12,"KR MRT Station "
"8203",2016-07-28,"BIZ2",2016-07-28,"S17"
"8204",2016-07-11,"KR MRT Station ",2016-07-11,"Central Library"
"8205",2017-03-22,"Computer Centre",2017-03-22,"University Town"
"8206",2016-09-07,"Opp. Hon Sui Sen Memorial Library",2016-09-07,"Central Library"
"8207",2017-05-15,"KR MRT Station ",2017-05-15,"S17"
"8208",2015-08-24,"S17",2015-08-24,"Computer Centre"
"8209",2015-01-06,"AS7",2015-01-06,"Computer Centre"
"8210",2016-06-04,"Central Library",2016-06-04,"LT29"
"8211",2015-06-22,"KR MRT Station ",2015-06-22,"COM2"
"8212",2017-12-26,"Opp. KR MRT Station",2017-12-26,"COM2"
"8213",2015-12-31,"University Town",2015-12-31,"Central Library"
"8214",2015-12-17,"Central Library",2015-12-17,"KR MRT Station "
"8215",2017-12-08,"University Town",2017-12-08,"S17"
"8216",2015-11-26,"COM2",2015-11-26,"House 7"
"8217",2016-09-22,"KR MRT Station ",2016-09-22,"LT13"
"8218",2015-05-29,"KR MRT Station ",2015-05-29,"Computer Centre"
"8219",2015-12-31,"COM2",2015-12-31,"Central Library"
"8220",2017-07-01,"LT29",2017-07-01,"KR MRT Station "
"8221",2017-11-15,"University Town",2017-11-15,"Computer Centre"
"8222",2016-03-30,"Central Library",2016-03-30,"COM2"
"8223",2016-06-04,"KR MRT Station ",2016-06-04,"University Hall"
"8224",2015-07-18,"House 12",2015-07-18,"Central Library"
"8225",2016-08-12,"University Town",2016-08-12,"COM2"
"8226",2017-03-06,"Opp. KR MRT Station",2017-03-06,"S17"
"8227",2015-08-25,"KR MRT Station ",2015-08-25,"LT29"
"8228",2015-04-28,"University Town",2015-04-28,"House 12"
"8229",2017-11-04,"PGP",2017-11-04,"KR MRT Station "
"8230",2016-07-21,"Opp. KR MRT Station",2016-07-21,"Opp. NUSS"
"8231",2015-11-13,"Opp. KR MRT Station",2015-11-13,"KR MRT Station "
"8232",2017-07-17,"S17",2017-07-17,"COM2"
"8233",2017-08-28,"University Town",2017-08-28,"S17"
"8234",2017-05-25,"University Town",2017-05-25,"S17"
"8235",2016-05-15,"LT29",2016-05-15,"Opp. KR MRT Station"
"8236",2015-10-30,"Computer Centre",2015-10-30,"KR MRT Station "
"8237",2015-07-21,"House 12",2015-07-21,"University Town"
"8238",2017-06-07,"KR MRT Station ",2017-06-07,"LT29"
"8239",2016-08-25,"Carpark 11 (BIZ)",2016-08-25,"Opp. University Hall"
"8240",2016-03-11,"Computer Centre",2016-03-11,"University Town"
"8241",2015-02-15,"Ventus (Opp. LT13)",2015-02-15,"KR MRT Station "
"8242",2015-03-26,"LT13",2015-03-26,"Computer Centre"
"8243",2016-02-09,"S17",2016-02-09,"University Town"
"8244",2015-07-04,"University Town",2015-07-04,"Opp. KR MRT Station"
"8245",2015-11-11,"University Town",2015-11-11,"House 7"
"8246",2017-02-23,"S17",2017-02-23,"Opp. House 12"
"8247",2016-08-19,"Carpark 11 (BIZ)",2016-08-19,"University Town"
"8248",2016-07-22,"Computer Centre",2016-07-22,"KR MRT Station "
"8249",2016-10-08,"Computer Centre",2016-10-08,"KR MRT Station "
"8250",2017-01-06,"Opp. KR MRT Station",2017-01-06,"KR MRT Station "
"8251",2017-02-02,"COM2",2017-02-02,"Central Library"
"8252",2017-12-19,"University Town",2017-12-19,"KR MRT Station "
"8253",2017-05-10,"KR MRT Station ",2017-05-10,"University Town"
"8254",2015-05-29,"Raffles Hall",2015-05-29,"University Town"
"8255",2015-11-23,"Opp. University Health Centre",2015-11-23,"Opp. Yusof Ishak House"
"8256",2016-04-14,"University Town",2016-04-14,"COM2"
"8257",2017-09-11,"University Town",2017-09-11,"Computer Centre"
"8258",2017-07-15,"EA",2017-07-15,"COM2"
"8259",2016-07-27,"AS7",2016-07-27,"KR MRT Station "
"8260",2015-08-10,"University Town",2015-08-10,"KR MRT Station "
"8261",2015-07-02,"LT13",2015-07-02,"University Town"
"8262",2017-12-28,"S17",2017-12-28,"COM2"
"8263",2015-05-18,"LT29",2015-05-18,"LT13"
"8264",2015-01-20,"University Town",2015-01-20,"University Hall"
"8265",2015-10-22,"Opp. KR MRT Station",2015-10-22,"House 15"
"8266",2015-01-27,"Museum",2015-01-27,"KR MRT Station "
"8267",2016-05-09,"S17",2016-05-09,"KR MRT Station "
"8268",2015-05-06,"AS7",2015-05-06,"Opp. KR MRT Station"
"8269",2015-10-15,"S17",2015-10-15,"Museum"
"8270",2016-07-21,"KR MRT Station ",2016-07-21,"COM2"
"8271",2016-05-01,"Computer Centre",2016-05-01,"KR MRT Station "
"8272",2015-11-18,"LT29",2015-11-18,"Computer Centre"
"8273",2015-01-29,"University Town",2015-01-29,"Computer Centre"
"8274",2017-07-25,"Central Library",2017-07-25,"Opp. KR MRT Station"
"8275",2015-04-11,"Computer Centre",2015-04-11,"Ventus (Opp. LT13)"
"8276",2015-11-24,"Opp. KR MRT Station",2015-11-24,"LT29"
"8277",2015-12-01,"University Town",2015-12-01,"KR MRT Station "
"8278",2017-09-07,"University Health Centre",2017-09-07,"Opp. Hon Sui Sen Memorial Library"
"8279",2016-01-28,"KR MRT Station ",2016-01-28,"Opp. KR MRT Station"
"8280",2016-03-28,"LT13",2016-03-28,"COM2"
"8281",2015-07-11,"KR MRT Station ",2015-07-11,"LT29"
"8282",2016-08-02,"KR MRT Station ",2016-08-02,"Computer Centre"
"8283",2015-10-30,"LT29",2015-10-30,"EA"
"8284",2015-11-18,"Central Library",2015-11-18,"LT29"
"8285",2015-09-24,"Yusof Ishak House",2015-09-24,"Carpark 11 (BIZ)"
"8286",2016-07-12,"Central Library",2016-07-12,"LT29"
"8287",2017-12-11,"Central Library",2017-12-11,"Computer Centre"
"8288",2015-05-20,"KR MRT Station ",2015-05-20,"Computer Centre"
"8289",2017-12-14,"Computer Centre",2017-12-14,"KR MRT Station "
"8290",2015-08-19,"Museum",2015-08-19,"KR MRT Station "
"8291",2017-09-29,"S17",2017-09-29,"KR MRT Station "
"8292",2016-05-18,"Central Library",2016-05-18,"University Town"
"8293",2017-10-05,"LT29",2017-10-05,"University Town"
"8294",2017-04-08,"University Hall",2017-04-08,"KR MRT Station "
"8295",2017-10-15,"AS7",2017-10-15,"University Town"
"8296",2017-07-01,"S17",2017-07-01,"COM2"
"8297",2015-07-01,"S17",2015-07-01,"Central Library"
"8298",2017-04-28,"KR MRT Station ",2017-04-28,"Opp. KR MRT Station"
"8299",2015-07-19,"LT29",2015-07-19,"Computer Centre"
"8300",2015-10-20,"KR MRT Station ",2015-10-20,"Central Library"
"8301",2017-08-04,"LT29",2017-08-04,"Raffles Hall"
"8302",2015-06-23,"University Town",2015-06-23,"Computer Centre"
"8303",2015-04-30,"University Town",2015-04-30,"LT29"
"8304",2017-10-19,"COM2",2017-10-19,"KR MRT Station "
"8305",2016-12-12,"LT29",2016-12-12,"University Town"
"8306",2016-08-03,"KR MRT Station ",2016-08-03,"Computer Centre"
"8307",2017-01-15,"Central Library",2017-01-15,"Opp. University Health Centre"
"8308",2016-01-18,"Opp. NUSS",2016-01-18,"S17"
"8309",2017-06-06,"Carpark 11 (BIZ)",2017-06-06,"Opp. KR MRT Station"
"8310",2015-07-12,"Carpark 11 (BIZ)",2015-07-12,"Opp. KR MRT Station"
"8311",2016-04-19,"House 15",2016-04-19,"University Town"
"8312",2016-09-20,"Ventus (Opp. LT13)",2016-09-20,"COM2"
"8313",2015-03-02,"University Hall",2015-03-02,"S17"
"8314",2015-05-14,"Museum",2015-05-14,"University Town"
"8315",2015-04-14,"LT29",2015-04-14,"University Town"
"8316",2015-08-24,"KR MRT Station ",2015-08-24,"Opp. Hon Sui Sen Memorial Library"
"8317",2015-08-29,"Opp. Yusof Ishak House",2015-08-29,"LT13"
"8318",2016-10-28,"Opp. KR MRT Station",2016-10-28,"Computer Centre"
"8319",2016-08-25,"Central Library",2016-08-25,"University Town"
"8320",2016-08-24,"Computer Centre",2016-08-24,"Opp. KR MRT Station"
"8321",2016-10-27,"Yusof Ishak House",2016-10-27,"Opp. House 12"
"8322",2015-09-29,"KR MRT Station ",2015-09-29,"LT29"
"8323",2017-08-25,"COM2",2017-08-25,"S17"
"8324",2015-06-17,"S17",2015-06-17,"Computer Centre"
"8325",2016-07-29,"PGP",2016-07-29,"Central Library"
"8326",2016-02-25,"KR MRT Station ",2016-02-25,"LT29"
"8327",2016-03-01,"LT29",2016-03-01,"KR MRT Station "
"8328",2017-02-12,"University Town",2017-02-12,"KR MRT Station "
"8329",2017-06-19,"Opp. KR MRT Station",2017-06-19,"University Town"
"8330",2016-12-27,"KR MRT Station ",2016-12-27,"University Town"
"8331",2016-01-29,"Opp. Yusof Ishak House",2016-01-29,"KR MRT Station "
"8332",2016-05-12,"PGP",2016-05-12,"S17"
"8333",2015-07-22,"Computer Centre",2015-07-22,"Yusof Ishak House"
"8334",2017-08-18,"Central Library",2017-08-18,"Computer Centre"
"8335",2016-03-16,"S17",2016-03-16,"Computer Centre"
"8336",2017-04-13,"University Town",2017-04-13,"Kent Ridge Bus Terminal"
"8337",2015-11-08,"S17",2015-11-08,"KR MRT Station "
"8338",2017-02-04,"LT29",2017-02-04,"University Town"
"8339",2015-06-30,"Opp. KR MRT Station",2015-06-30,"University Town"
"8340",2015-12-31,"Opp. KR MRT Station",2015-12-31,"Carpark 11 (BIZ)"
"8341",2016-01-14,"Computer Centre",2016-01-14,"House 12"
"8342",2017-01-02,"Museum",2017-01-02,"University Town"
"8343",2017-12-14,"Central Library",2017-12-14,"S17"
"8344",2017-01-03,"S17",2017-01-03,"LT29"
"8345",2016-12-15,"Opp. Hon Sui Sen Memorial Library",2016-12-15,"University Town"
"8346",2015-07-01,"LT29",2015-07-01,"COM2"
"8347",2016-02-02,"KR MRT Station ",2016-02-02,"University Town"
"8348",2015-03-18,"University Town",2015-03-18,"LT29"
"8349",2015-09-07,"S17",2015-09-07,"University Town"
"8350",2016-07-14,"COM2",2016-07-14,"Opp. KR MRT Station"
"8351",2017-06-20,"Computer Centre",2017-06-20,"House 15"
"8352",2017-03-06,"Opp. KR MRT Station",2017-03-06,"KR MRT Station "
"8353",2015-11-19,"KR MRT Station ",2015-11-19,"KR MRT Station "
"8354",2015-07-16,"KR MRT Station ",2015-07-16,"Opp. Hon Sui Sen Memorial Library"
"8355",2017-07-05,"S17",2017-07-05,"COM2"
"8356",2016-09-21,"KR MRT Station ",2016-09-21,"University Town"
"8357",2016-12-01,"KR MRT Station ",2016-12-01,"Opp. KR MRT Station"
"8358",2016-05-24,"Computer Centre",2016-05-24,"KR MRT Station "
"8359",2015-11-17,"COM2",2015-11-17,"S17"
"8360",2015-11-22,"LT29",2015-11-22,"University Town"
"8361",2016-08-19,"Central Library",2016-08-19,"University Town"
"8362",2017-02-05,"COM2",2017-02-05,"LT29"
"8363",2016-05-20,"Museum",2016-05-20,"Computer Centre"
"8364",2015-12-17,"S17",2015-12-17,"Opp. Yusof Ishak House"
"8365",2015-12-21,"Central Library",2015-12-21,"KR MRT Station "
"8366",2016-12-05,"University Town",2016-12-05,"Opp. KR MRT Station"
"8367",2017-11-24,"University Town",2017-11-24,"Opp. KR MRT Station"
"8368",2016-06-02,"KR MRT Station ",2016-06-02,"Central Library"
"8369",2016-04-04,"Ventus (Opp. LT13)",2016-04-04,"Kent Ridge Bus Terminal"
"8370",2015-06-17,"Computer Centre",2015-06-17,"Central Library"
"8371",2015-08-28,"Opp. KR MRT Station",2015-08-28,"KR MRT Station "
"8372",2015-06-26,"Computer Centre",2015-06-26,"LT29"
"8373",2015-03-01,"Raffles Hall",2015-03-01,"S17"
"8374",2016-10-01,"COM2",2016-10-01,"S17"
"8375",2015-09-04,"University Town",2015-09-04,"EA"
"8376",2015-10-16,"COM2",2015-10-16,"Opp. KR MRT Station"
"8377",2015-02-17,"Computer Centre",2015-02-17,"COM2"
"8378",2017-10-03,"Computer Centre",2017-10-03,"Opp. KR MRT Station"
"8379",2015-11-24,"Computer Centre",2015-11-24,"BIZ2"
"8380",2016-01-06,"Computer Centre",2016-01-06,"University Town"
"8381",2016-03-14,"Opp. University Health Centre",2016-03-14,"Central Library"
"8382",2015-05-21,"LT29",2015-05-21,"KR MRT Station "
"8383",2016-02-24,"KR MRT Station ",2016-02-24,"S17"
"8384",2015-11-09,"Opp. KR MRT Station",2015-11-09,"KR MRT Station "
"8385",2016-03-10,"KR MRT Station ",2016-03-10,"S17"
"8386",2015-04-17,"Central Library",2015-04-17,"KR MRT Station "
"8387",2015-05-12,"PGP",2015-05-12,"University Town"
"8388",2015-06-18,"University Town",2015-06-18,"House 15"
"8389",2016-07-27,"COM2",2016-07-27,"LT29"
"8390",2016-06-16,"Carpark 11 (BIZ)",2016-06-16,"House 15"
"8391",2016-09-19,"Kent Ridge Bus Terminal",2016-09-19,"COM2"
"8392",2017-08-07,"LT29",2017-08-07,"University Town"
"8393",2017-02-16,"S17",2017-02-16,"KR MRT Station "
"8394",2015-09-25,"COM2",2015-09-25,"KR MRT Station "
"8395",2017-01-08,"University Health Centre",2017-01-08,"KR MRT Station "
"8396",2015-06-01,"KR MRT Station ",2015-06-01,"University Town"
"8397",2017-06-15,"PGP",2017-06-15,"Opp. Yusof Ishak House"
"8398",2016-02-09,"KR MRT Station ",2016-02-09,"S17"
"8399",2016-08-08,"COM2",2016-08-08,"University Town"
"8400",2016-04-15,"Opp. KR MRT Station",2016-04-15,"Opp. NUSS"
"8401",2016-07-12,"Computer Centre",2016-07-12,"Opp. KR MRT Station"
"8402",2017-02-03,"University Health Centre",2017-02-03,"Opp. KR MRT Station"
"8403",2016-05-18,"University Town",2016-05-18,"COM2"
"8404",2017-02-17,"LT29",2017-02-17,"University Town"
"8405",2016-08-24,"Opp. KR MRT Station",2016-08-24,"PGP"
"8406",2015-12-04,"S17",2015-12-04,"Computer Centre"
"8407",2015-07-31,"AS7",2015-07-31,"LT29"
"8408",2016-11-18,"LT29",2016-11-18,"KR MRT Station "
"8409",2017-07-10,"PGP",2017-07-10,"LT29"
"8410",2016-02-03,"Central Library",2016-02-03,"Computer Centre"
"8411",2016-11-16,"Carpark 11 (BIZ)",2016-11-16,"University Town"
"8412",2017-06-30,"COM2",2017-06-30,"Opp. KR MRT Station"
"8413",2016-05-10,"Opp. NUSS",2016-05-10,"Opp. KR MRT Station"
"8414",2017-04-14,"Opp. KR MRT Station",2017-04-14,"S17"
"8415",2017-04-01,"LT29",2017-04-01,"KR MRT Station "
"8416",2016-11-02,"COM2",2016-11-02,"Computer Centre"
"8417",2017-06-26,"House 7",2017-06-26,"KR MRT Station "
"8418",2016-07-06,"University Town",2016-07-06,"KR MRT Station "
"8419",2015-02-22,"KR MRT Station ",2015-02-22,"Opp. House 12"
"8420",2015-07-31,"LT13",2015-07-31,"Opp. NUSS"
"8421",2017-12-08,"LT29",2017-12-08,"University Town"
"8422",2015-12-08,"University Town",2015-12-08,"University Town"
"8423",2017-08-10,"S17",2017-08-10,"House 12"
"8424",2017-06-29,"S17",2017-06-29,"University Town"
"8425",2015-06-12,"BIZ2",2015-06-12,"KR MRT Station "
"8426",2015-10-27,"EA",2015-10-27,"LT29"
"8427",2016-08-16,"COM2",2016-08-16,"University Town"
"8428",2016-06-12,"University Town",2016-06-12,"Computer Centre"
"8429",2016-05-29,"KR MRT Station ",2016-05-29,"Museum"
"8430",2016-02-18,"AS7",2016-02-18,"University Town"
"8431",2017-09-21,"Central Library",2017-09-21,"Central Library"
"8432",2016-09-08,"University Town",2016-09-08,"S17"
"8433",2015-09-30,"LT29",2015-09-30,"S17"
"8434",2015-05-13,"KR MRT Station ",2015-05-13,"COM2"
"8435",2015-02-18,"S17",2015-02-18,"University Town"
"8436",2016-12-20,"Computer Centre",2016-12-20,"University Town"
"8437",2015-11-02,"Yusof Ishak House",2015-11-02,"S17"
"8438",2017-11-05,"Ventus (Opp. LT13)",2017-11-05,"EA"
"8439",2016-03-28,"KR MRT Station ",2016-03-28,"University Town"
"8440",2015-08-19,"Opp. KR MRT Station",2015-08-19,"House 15"
"8441",2016-02-24,"Computer Centre",2016-02-24,"KR MRT Station "
"8442",2017-08-15,"S17",2017-08-15,"Opp. Yusof Ishak House"
"8443",2015-05-29,"LT29",2015-05-29,"Opp. KR MRT Station"
"8444",2016-03-30,"University Town",2016-03-30,"BIZ2"
"8445",2016-12-06,"BIZ2",2016-12-06,"Central Library"
"8446",2015-06-24,"KR MRT Station ",2015-06-24,"Central Library"
"8447",2016-03-25,"Computer Centre",2016-03-25,"KR MRT Station "
"8448",2016-12-12,"Opp. KR MRT Station",2016-12-12,"LT29"
"8449",2016-11-28,"Opp. Yusof Ishak House",2016-11-28,"Central Library"
"8450",2017-04-13,"KR MRT Station ",2017-04-13,"EA"
"8451",2015-07-17,"University Town",2015-07-17,"Opp. KR MRT Station"
"8452",2016-12-23,"Central Library",2016-12-23,"LT29"
"8453",2015-01-05,"University Town",2015-01-05,"LT29"
"8454",2015-01-01,"Opp. House 12",2015-01-01,"Museum"
"8455",2015-11-04,"Opp. KR MRT Station",2015-11-04,"S17"
"8456",2017-02-12,"Opp. KR MRT Station",2017-02-12,"KR MRT Station "
"8457",2015-10-22,"S17",2015-10-22,"LT29"
"8458",2015-04-30,"University Town",2015-04-30,"KR MRT Station "
"8459",2016-11-10,"KR MRT Station ",2016-11-10,"Central Library"
"8460",2016-12-01,"KR MRT Station ",2016-12-01,"Computer Centre"
"8461",2017-12-05,"University Town",2017-12-05,"KR MRT Station "
"8462",2016-03-15,"University Town",2016-03-15,"University Town"
"8463",2017-11-09,"Opp. KR MRT Station",2017-11-09,"KR MRT Station "
"8464",2016-12-06,"LT29",2016-12-06,"KR MRT Station "
"8465",2017-03-19,"LT29",2017-03-19,"University Town"
"8466",2016-10-03,"Opp. University Hall",2016-10-03,"Central Library"
"8467",2016-05-23,"University Town",2016-05-23,"LT29"
"8468",2016-07-22,"AS7",2016-07-22,"S17"
"8469",2017-08-17,"LT29",2017-08-17,"University Town"
"8470",2016-03-04,"COM2",2016-03-04,"Kent Ridge Bus Terminal"
"8471",2015-01-08,"University Hall",2015-01-08,"Computer Centre"
"8472",2015-04-24,"KR MRT Station ",2015-04-24,"Opp. KR MRT Station"
"8473",2017-09-06,"COM2",2017-09-06,"University Town"
"8474",2017-03-12,"COM2",2017-03-12,"Computer Centre"
"8475",2016-08-02,"University Town",2016-08-02,"Computer Centre"
"8476",2017-03-24,"LT29",2017-03-24,"University Town"
"8477",2017-08-18,"S17",2017-08-18,"Opp. KR MRT Station"
"8478",2016-08-16,"KR MRT Station ",2016-08-16,"University Town"
"8479",2017-01-11,"Computer Centre",2017-01-11,"AS7"
"8480",2015-03-04,"COM2",2015-03-04,"Carpark 11 (BIZ)"
"8481",2017-11-19,"Central Library",2017-11-19,"S17"
"8482",2017-08-07,"COM2",2017-08-07,"Opp. University Health Centre"
"8483",2015-01-20,"COM2",2015-01-20,"KR MRT Station "
"8484",2017-06-30,"Central Library",2017-06-30,"University Town"
"8485",2017-08-22,"University Town",2017-08-22,"Computer Centre"
"8486",2017-02-06,"Central Library",2017-02-06,"LT29"
"8487",2016-05-12,"LT29",2016-05-12,"LT13"
"8488",2017-07-25,"BIZ2",2017-07-25,"Computer Centre"
"8489",2015-10-28,"Opp. KR MRT Station",2015-10-28,"University Town"
"8490",2016-03-31,"House 7",2016-03-31,"LT13"
"8491",2017-03-30,"University Health Centre",2017-03-30,"Opp. NUSS"
